model,dataset,filename,runtime_sec,AUC-PR,AUC-ROC,VUS-PR,VUS-ROC,Standard-F1,PA-F1,Event-based-F1,R-based-F1,Affiliation-F
OmniAnomaly,SMAP,148_SMAP_id_5_Sensor_tr_2011_1st_5060.csv,18.54,0.018559390525180814,0.7761220527731798,0.03218105394313709,0.8445858435927451,0.0,0.0,0.0,0.0,0.04199616403378093
OmniAnomaly,SMAP,150_SMAP_id_7_Sensor_tr_2077_1st_5394.csv,21.06,0.03796367367199706,0.491601618510125,0.051256153011223334,0.5438524223312571,0.0,0.0,0.0,0.0,0.48761489879189024
OmniAnomaly,SMAP,151_SMAP_id_8_Sensor_tr_1971_1st_4870.csv,20.84,0.025044601499390633,0.5335776205099969,0.01860823393472673,0.543505412628091,0.04918032786885246,0.81,0.13636363636363621,0.020506999003642425,0.6860399488908149
OmniAnomaly,SMAP,152_SMAP_id_9_Sensor_tr_2073_1st_5600.csv,18.84,0.03473659752148956,0.4804021203962126,0.04080959466004389,0.5221998727527486,0.0,0.0,0.0,0.0,0.5612621589975538
OmniAnomaly,SMAP,153_SMAP_id_10_Sensor_tr_1840_1st_4030.csv,18.5,0.006923297635102412,0.5276722644275623,0.014812026396857065,0.7294702542912475,0.0,0.0,0.0,0.0,0.5845463566851515
OmniAnomaly,SMAP,154_SMAP_id_11_Sensor_tr_2117_1st_4770.csv,22.22,0.00870709085884656,0.2165817912540045,0.011025469255362927,0.2855329355943665,0.0,0.0,0.0,0.0,0.6383002133420044
OmniAnomaly,SMAP,155_SMAP_id_12_Sensor_tr_1907_1st_4800.csv,19.01,0.027866711435876382,0.6163130423081202,0.02781472841332715,0.6299783199344263,0.0963855421686747,0.7846153846153846,0.22222222222222202,0.013579893649998807,0.7151166889846773
OmniAnomaly,SMAP,156_SMAP_id_13_Sensor_tr_1173_1st_2750.csv,11.46,0.03217494159533674,0.8183972425678587,0.20825760538007793,0.9027813840189948,0.0,0.0,0.0,0.0,0.9812577654243115
OmniAnomaly,SMAP,157_SMAP_id_14_Sensor_tr_2126_1st_5000.csv,20.01,0.060828987875697633,0.669935132903163,0.0813587937998272,0.7436164949894056,0.0,0.0,0.0,0.0,0.7391920322390183
OmniAnomaly,SMAP,158_SMAP_id_15_Sensor_tr_2075_1st_5610.csv,19.91,0.006301335758371451,0.4214279668190283,0.020931358543737552,0.5733272999783612,0.0,0.0,0.0,0.0,0.572130865962548
OmniAnomaly,SMAP,159_SMAP_id_16_Sensor_tr_1757_1st_2650.csv,17.02,0.32333042059832273,0.6657978043520013,0.30519359685432146,0.6876368759717213,0.4578313253012048,0.9115646258503401,0.7851239669421483,0.025526049432987745,0.8931237694268241
OmniAnomaly,SMAP,160_SMAP_id_17_Sensor_tr_1832_1st_5300.csv,20.12,0.09122090355240381,0.6615772425852515,0.09532139004291307,0.6629704170686098,0.0,0.0,0.0,0.0,0.4260497110615928
OmniAnomaly,SMAP,161_SMAP_id_18_Sensor_tr_2075_1st_5550.csv,20.8,0.07929158698136876,0.6841840389192924,0.07774033720283767,0.7109880263250112,0.021505376344086023,0.9763560500695411,0.3199999999999997,0.07262954741638133,0.5690893302460842
OmniAnomaly,SMAP,162_SMAP_id_19_Sensor_tr_1908_1st_4690.csv,18.05,0.005190793818875702,0.5126002096498339,0.020895696018416524,0.7206833364634768,0.0,0.0,0.0,0.0,0.9892557478445577
OmniAnomaly,SMAP,163_SMAP_id_20_Sensor_tr_2051_1st_4575.csv,19.46,0.029083676403999857,0.626105070350391,0.03284886711137129,0.6668655011978424,0.0,0.0,0.0,0.0,0.6693331949097407
OmniAnomaly,SMAP,165_SMAP_id_22_Sensor_tr_2129_1st_5000.csv,19.8,0.06813343251465193,0.5763553621575275,0.0825284342336612,0.6288138327648521,0.0,0.0,0.0,0.0,0.699005345739421
OmniAnomaly,SMAP,166_SMAP_id_23_Sensor_tr_1113_1st_1890.csv,1.24,0.7860542379595561,0.8970158989894523,0.7484218220967797,0.9076233830946973,0.8767123287671232,1.0,0.9999999999999996,0.02767454660413662,0.9998877035373381
OmniAnomaly,SMAP,167_SMAP_id_24_Sensor_tr_2094_1st_5600.csv,20.25,0.003259371601195123,0.27930999166020454,0.020162468636564464,0.440756643099079,0.0,0.0,0.0,0.0,0.5776400193572109
OmniAnomaly,SMAP,168_SMAP_id_25_Sensor_tr_1998_1st_2098.csv,23.29,0.023996962168390493,0.51685721314447,0.03177055349977512,0.6222579655306337,0.019417475728155338,0.9484536082474226,0.16666666666666652,0.020686578722181628,0.7099676797581636
OmniAnomaly,SMAP,169_SMAP_id_26_Sensor_tr_1811_1st_4510.csv,17.84,0.022763477016799455,0.48587563318355814,0.026455647712268306,0.5750783792731408,0.02,0.9,0.0999999999999999,0.021377838152532504,0.15475757060487713
