Model,GECCO,PSM,Daphnet,Genesis,SWaT,CreditCard,GHL,OPP,SMAP,MSL,MITDB,SVDB,Exathlon,SMD,LTDB,TAO
IForest,0.2776,0.0952,0.0686,0.5923,0.2137,0.3416,0.4183,0.6034,0.6785,0.7630,0.6829,0.7170,0.5980,0.5475,0.5558,0.0540
CBLOF,0.1164,0.1861,0.8502,,0.1379,0.5859,,0.7642,0.7855,0.8714,0.6236,0.7151,0.9344,0.5723,0.6139,0.9523
PCA,0.1862,0.0742,0.0596,0.4434,0.2127,0.3138,0.4005,0.3775,0.6559,0.7944,0.5243,0.4047,0.4370,0.6226,0.3881,0.0282
RobustPCA,0.1248,0.1178,0.8588,,0.1927,0.5853,0.7183,0.8114,0.5529,0.6731,0.6779,0.7069,0.7237,0.6307,0.6656,0.9447
KMeansAD,0.2715,0.2025,0.3293,0.9323,0.3980,0.0405,0.5859,0.6686,0.5887,0.9171,0.6055,0.6969,0.8914,0.6404,0.3587,0.1474
OmniAnomaly,0.2697,0.3969,0.8192,0.6309,0.3489,0.5239,0.3849,0.6021,0.6307,0.6715,0.7066,0.7078,0.9159,0.7693,0.6586,0.4604
