model,dataset,filename,runtime_sec,AUC-PR,AUC-ROC,VUS-PR,VUS-ROC,Standard-F1,PA-F1,Event-based-F1,R-based-F1,Affiliation-F
KMeansAD,GECCO,173_GECCO_id_1_Sensor_tr_16165_1st_16265.csv,21.46,0.1475976267970938,0.6844141013841241,0.05237952021400717,0.5917164840736342,0.22051983584131327,0.3670600050213407,0.15052759361284854,0.0006843550026217711,0.2715321457749845
KMeansAD,PSM,115_PSM_id_1_Facility_tr_50000_1st_129872.csv,152.07,0.16249432265922104,0.5892485215227715,0.17031217024690995,0.5272932221024142,0.043758429491982616,0.35803905537561714,0.14042078145126624,0.0032758870337470628,0.20253570563492526
KMeansAD,Daphnet,018_Daphnet_id_1_HumanActivity_tr_9693_1st_20732.csv,3.88,0.32753084391535886,0.9177720328606594,0.3398936789048312,0.9199051311963958,0.015793848711554447,0.43526712553261226,0.1775700934579434,0.017255246477085866,0.32929145558842704
KMeansAD,Genesis,001_Genesis_id_1_Sensor_tr_4055_1st_15538.csv,4.16,0.6530995725688727,0.9980309214594929,0.90475980320249,0.99967883102399,0.31746031746031744,0.31746031746031744,0.3174603174603172,0.04638218923933209,0.9322756344097614
KMeansAD,SWaT,171_SWaT_id_1_Sensor_tr_3749_1st_9522.csv,10.37,0.25563661026079154,0.5373382702747054,0.2694846868636686,0.5689195832569851,0.14934497816593886,0.28559870550161814,0.4186046511627903,0.04001928421975603,0.39804732296086864
KMeansAD,CreditCard,137_CreditCard_id_1_Finance_tr_500_1st_541.csv,82.15,0.0018217356546806228,0.5031806871715201,0.01907974032963422,0.6051522239858977,0.0,0.0,0.0,0.0,0.04054680270188858
KMeansAD,GHL,032_GHL_id_1_Sensor_tr_50000_1st_65001.csv,61.55,0.016228345413803105,0.5333400531153759,0.01940776986629795,0.5583080802764214,0.04973591549295775,0.38579234972677595,0.07739726027397247,0.008960531885453364,0.5339634183870631
KMeansAD,GHL,033_GHL_id_2_Sensor_tr_50000_1st_51001.csv,59.43,0.11196671270251522,0.6649125106377779,0.07580681495625476,0.6838638339866714,0.2103585657370518,0.6215220949263502,0.2922509225092247,0.009096246982987378,0.6198466121912293
KMeansAD,GHL,034_GHL_id_3_Sensor_tr_50000_1st_122001.csv,65.7,0.0681265915437329,0.7798623504988662,0.08189074171855877,0.8005634273935478,0.1747858017135863,0.6796529130511776,0.28299643281807346,0.009729428756504734,0.5978328000006359
KMeansAD,GHL,035_GHL_id_4_Sensor_tr_50000_1st_90001.csv,68.67,0.023441682678620658,0.6605579415816922,0.026473805276831318,0.6795224775931269,0.0,0.0,0.0,0.0,0.39661847521093374
KMeansAD,GHL,036_GHL_id_5_Sensor_tr_50000_1st_67147.csv,60.82,0.02017773534362707,0.6379219239308508,0.02345327907742392,0.6583065157612386,0.03916161059018202,0.4600389863547758,0.09562289562289546,0.011042669568219594,0.457338752134574
KMeansAD,GHL,037_GHL_id_6_Sensor_tr_50000_1st_80001.csv,60.88,0.16018780443046537,0.816501432124659,0.09434957755981117,0.8249880738417661,0.22284122562674094,0.5739830129637908,0.3169572107765447,0.00930622929599234,0.7131694126662246
KMeansAD,GHL,038_GHL_id_7_Sensor_tr_50000_1st_100001.csv,76.33,0.010337442915754527,0.5417011021404392,0.01179576763599268,0.5629217372121745,0.013885966757837155,0.34065740903497976,0.02112676056338024,0.008269949750681087,0.6383553233580417
KMeansAD,GHL,039_GHL_id_8_Sensor_tr_50000_1st_63030.csv,65.01,0.030720105356171493,0.5381204723396636,0.030534024762618024,0.5547562873578443,0.07618369526521894,0.6036175710594315,0.12242562929061773,0.011967710663019316,0.8407809492861701
KMeansAD,GHL,041_GHL_id_10_Sensor_tr_50000_1st_57001.csv,69.61,0.027558967585303074,0.679803296776754,0.02846642326526906,0.6946572072385508,0.08811241929358146,0.7760758570386579,0.22970297029702935,0.009362167689351941,0.6999783037895423
KMeansAD,GHL,042_GHL_id_11_Sensor_tr_50000_1st_150001.csv,68.12,0.01838892659651947,0.6635106619072176,0.021794915254229268,0.6836401697588658,0.0,0.0,0.0,0.0,0.191465079736178
KMeansAD,GHL,043_GHL_id_12_Sensor_tr_39938_1st_40038.csv,69.36,0.017649105849508843,0.7462013630551834,0.020337507430129916,0.756598779638776,0.0,0.0,0.0,0.0,0.7266310166142324
KMeansAD,GHL,044_GHL_id_13_Sensor_tr_50000_1st_145001.csv,69.27,0.03635041374291274,0.7103535013988966,0.03611088703434465,0.725196622575398,0.10665312341289995,0.48915906788247215,0.16739736946990805,0.0093303609977385,0.5583205193401953
KMeansAD,GHL,045_GHL_id_14_Sensor_tr_50000_1st_85076.csv,71.24,0.14405033637632236,0.7642568407424338,0.06572400229096347,0.7730424232644849,0.1955678670360111,0.6199152542372881,0.2774066797642432,0.00875999609040039,0.6133484894829639
KMeansAD,GHL,046_GHL_id_15_Sensor_tr_50000_1st_156462.csv,84.1,0.09087384983724456,0.9581228303602853,0.11133765796315993,0.9612724397368335,0.12713068181818182,0.6393188854489165,0.2038724373576308,0.012710551160625007,0.9093047428161477
KMeansAD,GHL,047_GHL_id_16_Sensor_tr_50000_1st_77001.csv,91.8,0.019298038287041658,0.5921852114876666,0.0227897186968547,0.6152114786135375,0.0,0.0,0.0,0.0,0.31771759568411423
KMeansAD,GHL,048_GHL_id_17_Sensor_tr_50000_1st_154001.csv,68.34,0.055286170325434716,0.7002255085767224,0.05913488522009699,0.7291021937760728,0.06978557504873294,0.6645987862440998,0.1879265091863514,0.008920090274428959,0.6087061775751773
KMeansAD,GHL,050_GHL_id_19_Sensor_tr_43750_1st_55001.csv,70.22,0.007743500616971803,0.5939841474864419,0.009061652814276192,0.6189003536538334,0.0,0.0,0.0,0.0,0.684881289411443
KMeansAD,GHL,051_GHL_id_20_Sensor_tr_50000_1st_75110.csv,83.71,0.013413600158576209,0.6107696165822243,0.015258683233726256,0.6257111876067515,0.0,0.0,0.0,0.0,0.5339713788659797
KMeansAD,GHL,052_GHL_id_21_Sensor_tr_50000_1st_98001.csv,73.16,0.04020800234741989,0.7842164208046511,0.048745486728871794,0.7980234653357299,0.14131440913298365,0.48757218177253325,0.18327330932372932,0.010039534993892424,0.6187397749924866
KMeansAD,GHL,053_GHL_id_22_Sensor_tr_50000_1st_126448.csv,74.62,0.0584365905325413,0.619327815840427,0.0663621790318524,0.6390400303565195,0.03702770780856423,0.5662772514028148,0.16193885981823158,0.0126480884209458,0.4629803962908687
KMeansAD,GHL,054_GHL_id_23_Sensor_tr_50000_1st_135001.csv,77.15,0.06185046069815742,0.7250480035792,0.07458168135749298,0.7465677151368343,0.10200090266285543,0.4801831104686182,0.19815870232354205,0.012670439788543328,0.5887070365645852
KMeansAD,GHL,055_GHL_id_24_Sensor_tr_50000_1st_118124.csv,70.19,0.007666568038534218,0.5131691774113385,0.00919498513669381,0.5321901246603352,0.0,0.0,0.0,0.0,0.6025936458010841
