Model,GECCO,PSM,Daphnet,Genesis,SWaT,CreditCard,GHL,OPP,SMAP,MSL,MITDB,SVDB,Exathlon,SMD,LTDB,TAO
IForest,0.6330,0.5576,0.8220,0.9433,0.8080,0.6887,0.5191,0.8807,0.8087,0.8143,0.7113,0.7489,0.8369,0.7985,0.6869,0.8921
CBLOF,0.4424,0.4089,0.8087,0.5627,0.4631,0.8706,0.6203,0.6469,0.5980,0.7238,0.5308,0.6202,0.8887,0.6260,0.5122,1.0000
PCA,0.5552,0.5065,0.7294,0.9494,0.6715,0.6827,0.5423,0.7187,0.7108,0.6955,0.6570,0.5281,0.9066,0.8139,0.7199,0.8671
RobustPCA,0.4931,0.5404,0.4817,0.5936,0.7343,0.9132,0.6802,0.5035,0.4793,0.5976,0.6263,0.6566,0.8698,0.7412,0.7094,1.0000
KMeansAD,0.5917,0.5273,0.9199,0.9997,0.5689,0.6052,0.6890,0.4796,0.7786,0.7026,0.7660,0.9443,0.7367,0.8357,0.7755,0.9104
OmniAnomaly,0.7285,0.6019,0.7567,0.7426,0.7495,0.8675,0.4413,0.9430,0.6522,0.7097,0.6456,0.6420,0.9970,0.8010,0.6598,0.8903
