Model,GECCO,PSM,Daphnet,Genesis,SWaT,CreditCard,GHL,OPP,SMAP,MSL,MITDB,SVDB,Exathlon,SMD,LTDB,TAO
IForest,0.1985,0.2360,0.0000,0.2938,0.0982,0.0088,0.0396,0.4350,0.5494,0.3916,0.4607,0.7046,0.6010,0.5454,0.3935,0.0288
CBLOF,0.1488,0.5208,0.9669,0.0000,0.0236,0.0048,0.0000,0.1409,0.6935,0.4976,0.4743,0.7250,0.3755,0.5009,0.5882,0.6953
PCA,0.1860,0.0259,0.0000,0.4952,0.1000,0.0169,0.0256,0.1359,0.5278,0.3085,0.1198,0.2693,0.3204,0.7319,0.2258,0.0142
RobustPCA,0.1441,0.3311,0.8061,0.0000,0.0732,0.0054,0.2786,0.1255,0.4565,0.2209,0.5415,0.6715,0.5141,0.6861,0.6035,0.6902
KMeansAD,0.3671,0.3580,0.4353,0.3175,0.2856,0.0000,0.3870,0.1226,0.2771,0.2948,0.3311,0.6445,0.9650,0.6334,0.2575,0.0247
OmniAnomaly,0.5337,0.8350,0.8126,0.0000,0.0662,0.0188,0.1069,0.4140,0.3631,0.5045,0.5661,0.7028,0.9357,0.7589,0.5978,0.0471
