Model,GECCO,PSM,Daphnet,Genesis,SWaT,CreditCard,GHL,OPP,SMAP,MSL,MITDB,SVDB,Exathlon,SMD,LTDB,TAO
IForest,0.0676,0.0721,0.0000,0.1418,0.0776,0.0072,0.0278,0.1012,0.3662,0.3298,0.1887,0.4135,0.3574,0.3018,0.3473,0.0228
CBLOF,0.0142,0.0353,0.6238,0.0000,0.0687,0.0048,0.0000,0.0898,0.4954,0.4840,0.1835,0.2377,0.3760,0.2598,0.2339,0.6928
PCA,0.0797,0.0499,0.0000,0.1081,0.0881,0.0163,0.0249,0.0762,0.3608,0.2289,0.1013,0.1890,0.1462,0.5117,0.2048,0.0107
RobustPCA,0.0127,0.0462,0.5085,0.0000,0.1736,0.0054,0.1965,0.0738,0.0973,0.0368,0.1516,0.2031,0.5021,0.4562,0.3650,0.6874
KMeansAD,0.1505,0.1404,0.1776,0.3175,0.4186,0.0000,0.1241,0.0545,0.1838,0.2926,0.1902,0.5815,0.7848,0.4127,0.2002,0.0234
OmniAnomaly,0.1392,0.1516,0.5350,0.0000,0.1001,0.0119,0.0055,0.0969,0.1315,0.1332,0.1310,0.1997,0.8984,0.4400,0.2836,0.0401
