Model,GECCO,PSM,Daphnet,Genesis,SWaT,CreditCard,GHL,OPP,SMAP,MSL,MITDB,SVDB,Exathlon,SMD,LTDB,TAO
IForest,0.6868,0.6709,0.8162,0.9290,0.7964,0.5783,0.5156,0.8782,0.7891,0.7700,0.6827,0.6949,0.8351,0.8170,0.6423,0.5435
CBLOF,0.4336,0.3984,0.7823,0.4039,0.4782,0.6496,0.6326,0.6452,0.5414,0.6032,0.4873,0.5462,0.8876,0.6078,0.4451,1.0000
PCA,0.6587,0.6474,0.7302,0.9407,0.7254,0.6067,0.5526,0.7174,0.6807,0.6575,0.6362,0.4714,0.9067,0.8302,0.6744,0.5308
RobustPCA,0.5002,0.5736,0.4663,0.3880,0.8085,0.8456,0.6891,0.4990,0.4313,0.4906,0.5852,0.5954,0.8663,0.7188,0.6457,1.0000
KMeansAD,0.6844,0.5892,0.9178,0.9980,0.5373,0.5032,0.6713,0.4729,0.7472,0.6724,0.7561,0.9363,0.7309,0.8344,0.7512,0.6586
OmniAnomaly,0.6309,0.6323,0.7454,0.6001,0.7648,0.5587,0.4358,0.9417,0.5791,0.5853,0.6105,0.5628,0.9960,0.7714,0.5837,0.5035
