Model,GECCO,PSM,Daphnet,Genesis,SWaT,CreditCard,GHL,OPP,SMAP,MSL,MITDB,SVDB,Exathlon,SMD,LTDB,TAO
IForest,0.0007,0.0032,0.0000,0.0023,0.0318,0.0000,0.0009,0.0331,0.0438,0.0397,0.0189,0.0029,0.0323,0.0117,0.0021,0.0002
CBLOF,0.0007,0.0037,0.0207,0.0000,0.0088,0.0000,0.0000,0.0153,0.0401,0.1060,0.0240,0.0028,0.0212,0.0145,0.0026,0.0002
PCA,0.0007,0.0032,0.0000,0.0303,0.0320,0.0000,0.0005,0.0154,0.0521,0.0399,0.0010,0.0017,0.0189,0.0243,0.0012,0.0002
RobustPCA,0.0007,0.0034,0.0206,0.0000,0.0242,0.0000,0.0028,0.0162,0.0367,0.0184,0.0266,0.0028,0.0415,0.0108,0.0026,0.0002
KMeansAD,0.0007,0.0033,0.0173,0.0464,0.0400,0.0000,0.0071,0.0160,0.0193,0.0447,0.0042,0.0041,0.0464,0.0123,0.0026,0.0000
OmniAnomaly,0.0005,0.0032,0.0208,0.0000,0.0298,0.0000,0.0019,0.0280,0.0199,0.0514,0.0178,0.0028,0.0459,0.0130,0.0026,0.0002
