model,dataset,source,series,runtime_sec,n_train,n_test,sliding_window,AUC-PR,AUC-ROC,VUS-PR,VUS-ROC,Standard-F1,PA-F1,Event-based-F1,R-based-F1,Affiliation-F
CNN,SMD,mtsbench,SMD/SMD_machine-2-5,11.78,23688,17468,39,0.46516702030178736,0.9177066697588291,0.5014533319509576,0.9476703468385388,0.16150740242261102,0.8903330625507717,0.9022556390977438,0.004588705954395004,0.9004229681411772
CNN,SMD,mtsbench,SMD/SMD_machine-2-7,17.71,23696,18188,104,0.480132304024892,0.9605320103886151,0.5344460083547202,0.9836947947119297,0.22413793103448276,0.986469864698647,0.9085614443797316,0.002854760230115235,0.9397715562183654
CNN,SMD,mtsbench,SMD/SMD_machine-2-9,9.4,28722,11123,125,0.3213863183686621,0.8752094328929192,0.3777909851746306,0.9125206205964952,0.05432098765432099,0.9838813668600903,0.6376811594202894,0.02286191844980353,0.8614150547083858
CNN,SMD,mtsbench,SMD/SMD_machine-3-10,5.41,23692,18651,4,0.47021104273648484,0.9663608321379143,0.4792133864703908,0.968307690027272,0.021834061135371178,0.5721040189125296,0.5426356589147282,0.011234584662455699,0.7698196963506536
CNN,SMD,mtsbench,SMD/SMD_machine-3-2,10.35,23702,13152,17,0.03341266679227681,0.4837909622016577,0.027141955419832598,0.5019886121289272,0.06593406593406594,0.9333333333333333,0.37656903765690336,0.00629964071486546,0.7588716571875193
CNN,SMD,mtsbench,SMD/SMD_machine-3-3,7.82,23703,18885,20,0.18988089491139476,0.8043650533223955,0.1879065081907985,0.8474370135226799,0.06624605678233439,0.9636517328825022,0.7179487179487174,0.003051825642037905,0.8657035316951088
CNN,SMD,mtsbench,SMD/SMD_machine-3-5,9.08,23690,9117,6,0.45388113734331903,0.9165671972648757,0.4426417224668521,0.9224854766385804,0.17687074829931973,0.9829222011385199,0.7951070336391431,0.012369647506045404,0.8176472813621829
CNN,SMD,mtsbench,SMD/SMD_machine-3-6,13.54,28726,12401,5,0.489897430016371,0.9408943287083723,0.49109578783768565,0.9429527700413072,0.11241217798594848,0.9829652996845426,0.7999999999999994,0.018167223446136537,0.9179325781080504
CNN,LTDB,tsbad,LTDB/079_LTDB_id_1_Medical_tr_3618_1st_3718.csv,21.41,3618,96382,100,0.5760378318011345,0.7958327942498619,0.667137158195544,0.8863440797888633,0.11707068779029077,0.9994590574075326,0.991379310344827,0.002625602499418284,0.9095500357219246
CNN,LTDB,tsbad,LTDB/080_LTDB_id_2_Medical_tr_500_1st_266.csv,26.36,500,99500,95,0.1443016290057849,0.4951151082445878,0.19767641645188028,0.6035074513365156,0.021736534097694972,0.35747929991571226,0.13362701908957375,0.002244258379462062,0.4420899715940443
