model,dataset,source,series,runtime_sec,n_train,n_test,sliding_window,AUC-PR,AUC-ROC,VUS-PR,VUS-ROC,Standard-F1,PA-F1,Event-based-F1,R-based-F1,Affiliation-F
LSTMAD,SMD,mtsbench,SMD/SMD_machine-2-5,39.45,23688,17468,39,0.49810634715160296,0.9359072070220195,0.5260182967385344,0.9573229596044213,0.1592442645074224,0.8910569105691057,0.9086242299794656,0.00458831585491952,0.9070093090103101
LSTMAD,SMD,mtsbench,SMD/SMD_machine-2-7,36.02,23696,18188,104,0.4865957581343861,0.963597498790286,0.5216376792475672,0.9824935676177439,0.22462203023758098,0.9876847290640394,0.9165687426556987,0.0028548535198156767,0.9475483417617117
LSTMAD,SMD,mtsbench,SMD/SMD_machine-2-9,27.31,28722,11123,125,0.3109456129133256,0.8412231741196355,0.3771415340749716,0.8963508711908212,0.05198019801980198,0.984516129032258,0.6363636363636358,0.022861373767512058,0.861868085795235
LSTMAD,SMD,mtsbench,SMD/SMD_machine-3-10,6.54,23692,18651,4,0.5129984172987291,0.9622821195695127,0.5302074892278019,0.9658576996075278,0.021834061135371178,0.5721040189125296,0.5426356589147282,0.011234584662455699,0.7698196963506536
LSTMAD,SMD,mtsbench,SMD/SMD_machine-3-2,14.76,23702,13152,17,0.032103332949356224,0.4888484129525329,0.026556389729454174,0.5053009077456504,0.06716417910447761,0.9428571428571428,0.42056074766355095,0.006387103866381276,0.7713040385247267
LSTMAD,SMD,mtsbench,SMD/SMD_machine-3-3,28.52,23703,18885,20,0.19006159036114456,0.776830963449093,0.19360265332216228,0.8216639255598321,0.0631911532385466,0.9636517328825022,0.7100591715976325,0.003051758815753145,0.865664534990898
LSTMAD,SMD,mtsbench,SMD/SMD_machine-3-5,25.78,23690,9117,6,0.442246093411637,0.853636743428625,0.43387053825701655,0.8660302166619057,0.1891891891891892,0.9829222011385199,0.7977207977207972,0.012371317950809693,0.8177342753546801
LSTMAD,SMD,mtsbench,SMD/SMD_machine-3-6,35.12,28726,12401,5,0.43796900893881685,0.9207739496265545,0.4381107824574026,0.9238625103316603,0.09692671394799054,0.9835858585858586,0.789727126805778,0.01822545908296092,0.9156631664469812
LSTMAD,LTDB,tsbad,LTDB/079_LTDB_id_1_Medical_tr_3618_1st_3718.csv,22.22,3618,96382,100,0.5139400578307757,0.7924393986792531,0.591765832420183,0.8737729066707799,0.15787178368948976,0.999898528665652,0.9988175009854153,0.002622646696588098,0.9329282326991305
LSTMAD,LTDB,tsbad,LTDB/083_LTDB_id_5_Medical_tr_15502_1st_15602.csv,17.27,15502,84498,7,0.043330820462980035,0.7539342210625049,0.028191534756365988,0.7650867763149964,0.06754772393538913,0.5546403075233388,0.10188261351052039,0.0017297148579952998,0.7389468658926808
