Model,GECCO,PSM,Daphnet,Genesis,SWaT,CreditCard,GHL,OPP,SMAP,MSL,MITDB,SVDB,Exathlon,SMD,LTDB,TAO
IForest,0.1596,0.0000,0.0022,0.1538,0.0000,0.0115,0.0341,0.4355,0.0721,0.0768,0.0409,0.0419,0.0341,0.1514,0.0390,0.0020
CBLOF,0.0151,0.0000,0.0411,0.0000,0.0209,0.0052,0.0000,0.0014,0.0610,0.1734,0.0459,0.0539,0.0112,0.1126,0.0509,0.6908
PCA,0.2291,0.0000,0.0032,0.0000,0.0911,0.0217,0.0103,0.7739,0.1294,0.0311,0.0518,0.0610,0.0737,0.2479,0.0767,0.0088
RobustPCA,0.0135,0.0291,0.0445,0.0000,0.0459,0.0054,0.0122,0.0014,0.0330,0.0187,0.0499,0.0675,0.0203,0.2158,0.0906,0.6908
KMeansAD,,,,,,,,,,,,,,,,
OmniAnomaly,0.1926,0.0016,0.0335,0.0000,0.0097,0.0051,0.0390,0.0042,0.0112,0.0225,0.0491,0.0569,0.0320,0.0456,0.0568,0.0347
