Model,GECCO,PSM,Daphnet,Genesis,SWaT,CreditCard,GHL,OPP,SMAP,MSL,MITDB,SVDB,Exathlon,SMD,LTDB,TAO
IForest,0.6932,0.3856,0.4183,0.9620,0.8535,0.5414,0.7272,0.9496,0.6796,0.5737,0.6540,0.6013,0.5790,0.7079,0.5801,0.4771
CBLOF,0.4507,0.4442,0.5584,0.5311,0.4778,0.6632,0.4199,0.4378,0.5450,0.6527,0.5293,0.4983,0.5937,0.6235,0.4482,1.0000
PCA,0.6809,0.3781,0.4100,0.9605,0.8516,0.5804,0.7544,0.9708,0.6880,0.6808,0.6268,0.5055,0.6408,0.7885,0.6638,0.4838
RobustPCA,0.5014,0.6398,0.5083,0.4821,0.7133,0.8615,0.6710,0.5677,0.4872,0.4923,0.5548,0.5678,0.5758,0.6729,0.6386,1.0000
KMeansAD,0.7592,0.4442,0.5232,0.9976,0.8821,0.4934,0.8731,0.8616,0.7003,0.7423,0.7337,0.7761,0.6675,0.7846,0.5855,0.6481
OmniAnomaly,0.6949,0.7267,0.5470,0.6247,0.7497,0.5895,0.7151,0.8028,0.5830,0.5415,0.5837,0.5327,0.7357,0.6905,0.5592,0.5006
FITS,0.7584,0.5680,0.6659,0.4849,0.4259,0.5574,0.2460,0.3214,0.5347,0.6019,0.5926,0.6336,0.6413,0.7477,0.6031,0.4963
CNN,0.9041,0.8706,0.5758,0.9397,0.7805,0.9578,0.8252,0.7616,0.6550,0.6092,0.6718,0.6600,0.7275,0.8297,0.6624,0.9997
