Model,GECCO,PSM,Daphnet,Genesis,SWaT,CreditCard,GHL,OPP,SMAP,MSL,MITDB,SVDB,Exathlon,SMD,LTDB,TAO
IForest,0.0522,0.0014,0.2935,0.8492,,0.3000,0.4073,0.8690,0.5379,0.7874,0.5474,0.5737,0.6366,0.3484,0.6513,0.0161
CBLOF,0.1260,,0.7159,,0.1379,0.6187,,0.4117,0.6147,0.8454,0.6840,0.6471,0.5262,0.5036,0.6518,0.9529
PCA,0.2066,,0.1410,0.6021,0.2711,0.1751,0.4411,0.9792,0.5509,0.5288,0.3980,0.3650,0.5376,0.3798,0.2925,0.0230
RobustPCA,0.1126,0.1733,0.7109,,0.3321,0.6174,0.5103,0.3900,0.4623,0.6633,0.6975,0.6930,0.7165,0.5622,0.6664,0.9529
KMeansAD,,,,,,,,,,,,,,,,
OmniAnomaly,0.2779,0.3332,0.6575,0.4381,0.3461,0.4760,0.5777,0.4127,0.5183,0.6746,0.6907,0.6908,0.5356,0.7424,0.6648,0.3925
