Model,GECCO,PSM,Daphnet,Genesis,SWaT,CreditCard,GHL,OPP,SMAP,MSL,MITDB,SVDB,Exathlon,SMD,LTDB,TAO
IForest,0.0009,0.0000,0.0168,0.0123,0.0000,0.0000,0.0016,0.0578,0.0218,0.0508,0.0026,0.0018,0.0433,0.0130,0.0022,0.0001
CBLOF,0.0008,0.0000,0.0526,0.0000,0.0088,0.0000,0.0000,0.0118,0.0702,0.0804,0.0027,0.0018,0.0331,0.0155,0.0026,0.0002
PCA,0.0009,0.0000,0.0074,0.0000,0.0816,0.0000,0.0014,0.2263,0.0687,0.0278,0.0021,0.0013,0.0834,0.0229,0.0012,0.0002
RobustPCA,0.0008,0.0105,0.0519,0.0000,0.0670,0.0000,0.0017,0.0084,0.0690,0.0233,0.0027,0.0019,0.0612,0.0180,0.0027,0.0002
KMeansAD,0.0009,0.0000,0.0023,0.0030,0.0822,0.0000,0.0041,0.0000,0.0362,0.0407,0.0034,0.0017,0.0740,0.0205,0.0012,0.0000
OmniAnomaly,0.0009,0.0107,0.0513,0.0000,0.0294,0.0000,0.0047,0.0208,0.0549,0.0997,0.0028,0.0019,0.0977,0.0110,0.0027,0.0002
FITS,0.0009,0.0107,0.0517,0.0000,0.0321,0.0000,0.0106,0.0237,0.0664,0.1026,0.0028,0.0018,0.1020,0.0125,0.0026,0.0002
