Model,GECCO,PSM,Daphnet,Genesis,SWaT,CreditCard,GHL,OPP,SMAP,MSL,MITDB,SVDB,Exathlon,SMD,LTDB,TAO
IForest,0.0415,0.2953,0.1656,0.5733,0.5022,0.0923,0.0342,0.5366,0.3426,0.2716,0.2255,0.2403,0.3191,0.2205,0.3415,0.6614
CBLOF,0.0217,0.3251,0.2492,0.0892,0.1875,0.0956,0.0883,0.0187,0.2355,0.3571,0.1701,0.2072,0.3396,0.2363,0.2151,0.9998
PCA,0.0467,0.2957,0.1860,0.6209,0.4852,0.1033,0.0277,0.8352,0.3696,0.2737,0.2327,0.2365,0.3458,0.3705,0.4175,0.6573
RobustPCA,0.0244,0.4565,0.2281,0.0062,0.2939,0.0957,0.0897,0.0241,0.1775,0.1586,0.1926,0.2207,0.3345,0.2549,0.2825,0.9999
KMeansAD,0.0631,0.3251,0.2566,0.8231,0.5380,0.0986,0.1211,0.3877,0.3768,0.4598,0.3261,0.5030,0.3797,0.3029,0.4077,0.8469
OmniAnomaly,0.0543,0.5510,0.2443,0.0077,0.4514,0.1304,0.0262,0.0552,0.1704,0.1809,0.1888,0.2157,0.4279,0.2038,0.2492,0.7258
FITS,0.1272,0.4354,0.2965,0.0241,0.1841,0.1352,0.0102,0.0141,0.1866,0.1913,0.1798,0.2433,0.3303,0.2559,0.2748,0.7417
