Model,GECCO,PSM,Daphnet,Genesis,SWaT,CreditCard,GHL,OPP,SMAP,MSL,MITDB,SVDB,Exathlon,SMD,LTDB,TAO
IForest,1.0000,1.0000,26.0000,1.0000,2.0000,1.0000,14.0000,13.0000,51.0000,26.0000,47.0000,78.0000,30.0000,18.0000,4.0000,11.0000
CBLOF,1.0000,1.0000,26.0000,1.0000,2.0000,1.0000,14.0000,13.0000,51.0000,26.0000,47.0000,78.0000,30.0000,18.0000,4.0000,11.0000
PCA,1.0000,1.0000,26.0000,1.0000,2.0000,1.0000,14.0000,13.0000,51.0000,26.0000,47.0000,78.0000,30.0000,18.0000,4.0000,11.0000
RobustPCA,1.0000,1.0000,26.0000,1.0000,2.0000,1.0000,14.0000,13.0000,51.0000,26.0000,47.0000,78.0000,30.0000,18.0000,4.0000,11.0000
KMeansAD,1.0000,1.0000,26.0000,1.0000,2.0000,1.0000,14.0000,13.0000,51.0000,26.0000,47.0000,78.0000,30.0000,18.0000,4.0000,11.0000
OmniAnomaly,1.0000,1.0000,26.0000,1.0000,2.0000,1.0000,14.0000,13.0000,51.0000,26.0000,47.0000,78.0000,30.0000,18.0000,4.0000,11.0000
FITS,1.0000,1.0000,26.0000,1.0000,2.0000,1.0000,14.0000,13.0000,51.0000,26.0000,47.0000,78.0000,30.0000,18.0000,4.0000,11.0000
CNN,1.0000,1.0000,26.0000,1.0000,2.0000,1.0000,14.0000,13.0000,51.0000,26.0000,47.0000,78.0000,30.0000,18.0000,4.0000,11.0000
