Model,GECCO,PSM,Daphnet,Genesis,SWaT,CreditCard,GHL,OPP,SMAP,MSL,MITDB,SVDB,Exathlon,SMD,LTDB,TAO
IForest,0.0523,0.0000,0.0640,0.2128,0.0000,0.0111,0.0356,0.6346,0.1266,0.2095,0.2097,0.2973,0.1573,0.1521,0.4444,0.0022
CBLOF,0.0216,0.0000,0.3595,0.0000,0.0687,0.0053,0.0000,0.0029,0.2561,0.3053,0.2811,0.2905,0.1050,0.3277,0.3348,0.6933
PCA,0.1290,0.0000,0.0294,0.0000,0.1871,0.0207,0.0187,0.8889,0.3066,0.1128,0.1315,0.1625,0.2788,0.2697,0.1521,0.0093
RobustPCA,0.0160,0.1860,0.3557,0.0000,0.1992,0.0055,0.0267,0.0030,0.1099,0.0414,0.2788,0.2844,0.1871,0.3762,0.3987,0.6933
KMeansAD,0.1272,0.0000,0.0159,0.4029,0.1566,0.0000,0.1243,0.0000,0.1895,0.1817,0.0888,0.2530,0.2753,0.2433,0.1528,0.0000
OmniAnomaly,0.1399,0.1694,0.3592,0.0000,0.0963,0.0052,0.0749,0.0079,0.1165,0.2347,0.2574,0.2679,0.3634,0.1713,0.2920,0.0361
FITS,0.1678,0.1636,0.3725,0.0000,0.1089,0.0052,0.0150,0.0086,0.2534,0.2449,0.2193,0.2526,0.3901,0.1899,0.2792,0.0442
