Model,GECCO,PSM,Daphnet,Genesis,SWaT,CreditCard,GHL,OPP,SMAP,MSL,MITDB,SVDB,Exathlon,SMD,LTDB,TAO
IForest,0.3252,0.0000,0.1421,0.6047,0.0000,0.0145,0.0390,0.8603,0.2007,0.2557,0.4025,0.5480,0.2055,0.3295,0.5237,0.0024
CBLOF,0.1747,0.0000,0.8528,0.0000,0.0236,0.0052,0.0000,0.2194,0.4878,0.3376,0.5722,0.6624,0.1432,0.5304,0.6207,0.6957
PCA,0.3313,0.0000,0.0546,0.0000,0.0669,0.0217,0.0304,0.8925,0.3931,0.1146,0.1903,0.2615,0.3295,0.4509,0.1732,0.0088
RobustPCA,0.1509,0.4042,0.8506,0.0000,0.0849,0.0054,0.0344,0.1606,0.4725,0.2148,0.6009,0.7466,0.2351,0.7148,0.5861,0.6957
KMeansAD,0.3196,0.0000,0.0290,0.4029,0.4715,0.0000,0.1930,0.0000,0.2144,0.1938,0.1368,0.3040,0.2997,0.4088,0.1843,0.0000
OmniAnomaly,0.4658,0.8628,0.7558,0.0000,0.0662,0.0152,0.3549,0.3569,0.3401,0.6609,0.5973,0.7698,0.5679,0.7214,0.6104,0.0387
