Model,GECCO,PSM,Daphnet,Genesis,SWaT,CreditCard,GHL,OPP,SMAP,MSL,MITDB,SVDB,Exathlon,SMD,LTDB,TAO
IForest,0.1306,0.2756,0.1576,0.0645,0.6770,0.0022,0.0486,0.5298,0.3408,0.2413,0.2017,0.1921,0.3136,0.2738,0.2974,0.0844
CBLOF,0.0212,0.4175,0.2339,0.1812,0.1814,0.0024,0.0757,0.0173,0.2412,0.3272,0.1534,0.1657,0.3604,0.2774,0.1784,1.0000
PCA,0.1765,0.2784,0.1764,0.0706,0.6000,0.0075,0.0261,0.8411,0.3570,0.2452,0.2065,0.2037,0.3579,0.4387,0.3934,0.0825
RobustPCA,0.0180,0.4706,0.2152,0.0029,0.2676,0.0052,0.0876,0.0217,0.1765,0.1358,0.1743,0.1830,0.3533,0.2997,0.2493,1.0000
KMeansAD,0.2213,0.4175,0.2527,0.5243,0.6618,0.0015,0.1080,0.3771,0.3785,0.4413,0.2995,0.4407,0.4025,0.3873,0.3434,0.1392
OmniAnomaly,0.1140,0.5335,0.2291,0.0040,0.4381,0.0021,0.0546,0.0495,0.1599,0.1440,0.1701,0.1610,0.4272,0.2036,0.1989,0.0865
FITS,0.1179,0.3909,0.2784,0.0030,0.1604,0.0021,0.0114,0.0136,0.1576,0.1504,0.1610,0.1862,0.3192,0.2034,0.2251,0.0858
