Model,GECCO,PSM,Daphnet,Genesis,SWaT,CreditCard,GHL,OPP,SMAP,MSL,MITDB,SVDB,Exathlon,SMD,LTDB,TAO
IForest,0.6253,0.3909,0.4360,0.9904,0.7779,0.8593,0.7250,0.9540,0.7013,0.6413,0.7005,0.6836,0.5899,0.7052,0.6392,0.8581
CBLOF,0.4171,0.3099,0.5926,0.6333,0.4651,0.9668,0.4249,0.4516,0.5738,0.7276,0.5933,0.5965,0.5633,0.6498,0.5153,1.0000
PCA,0.5462,0.3235,0.4086,0.9897,0.7456,0.6793,0.7451,0.9719,0.7051,0.7099,0.6628,0.5776,0.6137,0.7469,0.7067,0.8431
RobustPCA,0.4806,0.6075,0.5354,0.6617,0.6666,0.9739,0.6740,0.5734,0.5198,0.5863,0.6109,0.6513,0.5518,0.6783,0.7025,1.0000
KMeansAD,0.6384,0.3099,0.5133,0.9994,0.7862,0.6356,0.8781,0.8677,0.7116,0.7552,0.7527,0.8103,0.6383,0.7159,0.6414,0.9255
OmniAnomaly,0.6748,0.7218,0.5748,0.7429,0.7414,0.9692,0.7306,0.8071,0.6358,0.6555,0.6398,0.6356,0.7547,0.7009,0.6371,0.8923
FITS,0.8474,0.6099,0.6896,0.7546,0.4631,0.9688,0.2998,0.3411,0.5737,0.6864,0.6457,0.7203,0.6713,0.7910,0.6742,0.9320
CNN,0.8975,0.8818,0.6040,0.9454,0.7844,0.9900,0.8384,0.7642,0.6893,0.6831,0.7231,0.7420,0.7727,0.8768,0.7279,0.9999
