Model,GECCO,PSM,Daphnet,Genesis,SWaT,CreditCard,GHL,OPP,SMAP,MSL,MITDB,SVDB,Exathlon,SMD,LTDB,TAO
IForest,,,,,,,,,,,,,,,,
CBLOF,0.0118,0.0875,0.2945,0.1258,0.1552,0.0026,0.0702,0.1579,0.1507,0.2576,0.0563,0.0982,0.8163,0.1836,0.1649,1.0000
PCA,0.1177,0.1783,0.0958,0.0401,0.2622,0.0035,0.0421,0.1565,0.2622,0.2335,0.1247,0.1223,0.5217,0.4873,0.4417,0.1056
RobustPCA,0.0130,0.1375,0.0955,0.0024,0.3657,0.0057,0.1047,0.0809,0.0377,0.0719,0.0760,0.1022,0.7958,0.2781,0.2418,1.0000
KMeansAD,0.1476,0.1625,0.3275,0.6531,0.2556,0.0018,0.0467,0.0536,0.3776,0.4749,0.1934,0.6232,0.3927,0.3823,0.5260,0.1568
OmniAnomaly,0.1382,0.1626,0.1378,0.0037,0.4097,0.0029,0.0121,0.2863,0.0852,0.0924,0.0993,0.0962,0.9409,0.2977,0.2013,0.0877
