Model,GECCO,PSM,Daphnet,Genesis,SWaT,CreditCard,GHL,OPP,SMAP,MSL,MITDB,SVDB,Exathlon,SMD,LTDB,TAO
IForest,,,,,,,,,,,,,,,,
CBLOF,0.0192,0.0994,0.3121,0.0363,0.1549,0.0221,0.0540,0.1612,0.1506,0.2706,0.0468,0.1035,0.8128,0.1564,0.2024,0.9998
PCA,0.0343,0.1688,0.1085,0.1556,0.2860,0.0324,0.0372,0.1602,0.2871,0.2910,0.1256,0.1188,0.5255,0.4078,0.4709,0.6594
RobustPCA,0.0210,0.1483,0.0968,0.0049,0.3285,0.0240,0.0959,0.0824,0.0376,0.0924,0.0597,0.1077,0.7989,0.2375,0.2770,0.9998
KMeansAD,0.0524,0.1703,0.3399,0.9048,0.2695,0.0191,0.0430,0.0550,0.3910,0.4906,0.1926,0.6485,0.4012,0.3421,0.5801,0.8168
OmniAnomaly,0.1111,0.1704,0.1446,0.0079,0.4163,0.0327,0.0129,0.2977,0.0972,0.1315,0.0649,0.1071,0.9506,0.2882,0.2478,0.7435
