context_length,horizon,score_method,agg_method,n_files,AUROC,AUPRC,VUS-ROC,VUS-PR
512,128,mse,topk_mean,6,0.7955713147810567,0.34407871389997574,0.8126939783048295,0.30742267266042256
512,128,mse,l2,6,0.7911673156800726,0.30915161617048437,0.8094676266837838,0.288153002659831
512,128,mse,max,6,0.7854077340907527,0.27731499892497957,0.8088780917555343,0.2858708984600342
512,128,mse,mean,6,0.7792034326355814,0.27490977889344875,0.7898636631275942,0.263062566545939
512,128,interval,topk_mean,6,0.7555249904503368,0.2671225633731931,0.7804650599977118,0.2620416082297627
512,128,interval,max,6,0.7513413006989237,0.19922363747308233,0.7792873921420286,0.2378541976338383
512,128,interval,l2,6,0.7531392150457322,0.22255812625501936,0.7760479900071084,0.23208684625036366
512,128,interval,mean,6,0.7392154542350912,0.19580859298646178,0.7609599819873463,0.20741073383182643
512,128,normalized_deviation,max,6,0.6992916272617012,0.21487527572970563,0.7496667966020941,0.23583253569951704
512,128,normalized_deviation,topk_mean,6,0.698623361336881,0.21454016179621396,0.7390053065275534,0.21249600310514571
512,128,normalized_deviation,l2,6,0.6886606601593218,0.17799629934352548,0.7256240863141795,0.18602154437902954
512,128,smape,l2,6,0.6484942785453095,0.14053784200713423,0.6866603761840321,0.13951740184334463
512,128,normalized_deviation,mean,6,0.6609170862528465,0.1685347225121693,0.6858592613309761,0.1749172640415685
512,128,smape,mean,6,0.6398824607499315,0.1402665327537003,0.6676938475712356,0.13754386151877165
512,128,smape,topk_mean,6,0.5995567923826911,0.09442612572612673,0.6438187294935543,0.11169027414454158
512,128,smape,max,6,0.4607656399001183,0.07687787085269684,0.5466252457805872,0.09735334620673276
