file_name,AUROC,AUPRC,VUS-ROC,VUS-PR
SMD_machine-1-2_test,0.770364373080419,0.5330076519113984,0.6528039223661554,0.40889112236829656
SMD_machine-1-3_test,0.747626462972558,0.18939761895395255,0.8460008613983807,0.2537343824664913
SMD_machine-1-4_test,0.7579191700940721,0.20640139570478225,0.859717329320641,0.217079795848242
SMD_machine-1-6_test,0.7384677304572231,0.36446427526365727,0.7234289826732413,0.34977420055736935
SMD_machine-1-7_test,0.7250775912541,0.13367011008126634,0.7680368900548641,0.15946621761704666
SMD_machine-1-8_test,0.9287904674016063,0.36688442184599085,0.939207686826297,0.3913506143700357
SMD_machine-2-1_test,0.7373125038941305,0.25842201010897903,0.7370045011413042,0.25067894813847885
SMD_machine-2-2_test,0.579661699099681,0.22794787026654703,0.698381663967033,0.3370461940386102
SMD_machine-2-3_test,0.9096871332919169,0.386680845735654,0.8914081507064542,0.2605149423097092
SMD_machine-2-4_test,0.7241297817493322,0.2902474250400693,0.6816456536656081,0.23270776813242774
SMD_machine-2-5_test,0.9013743431351362,0.29368641187465216,0.8535847167013723,0.22302956433247528
SMD_machine-2-7_test,0.7968568955091664,0.31977650357087983,0.8756372925273691,0.1812820310256594
SMD_machine-2-9_test,0.5522371557102881,0.08402856340867663,0.6000315392493647,0.10292291945302925
SMD_machine-3-10_test,0.7576967858399088,0.19764176815896176,0.7618239046783752,0.21330539548595934
SMD_machine-3-2_test,0.3649480869871031,0.013395149479640479,0.4024571271367177,0.01630382135456403
SMD_machine-3-3_test,0.8678756722267797,0.18641166762602152,0.7374133686458553,0.14091461487354992
SMD_machine-3-5_test,0.8932640742098577,0.5405652486620008,0.6478539667343177,0.24378556799240592
SMD_machine-3-6_test,0.6850910692501329,0.13724737827253547,0.6886858034801917,0.1272628072929443
