file_name,AUROC,AUPRC,VUS-ROC,VUS-PR
SMD_machine-1-2_test,0.7745495781479242,0.3744196362771782,0.6598069252366817,0.3101725735896418
SMD_machine-1-3_test,0.6993611990636069,0.17104008559063186,0.8224619531616381,0.21717293860038656
SMD_machine-1-4_test,0.7880714922006785,0.20676843648368806,0.8772917892533901,0.22455170583724737
SMD_machine-1-6_test,0.6197424655469953,0.273994785352609,0.5988117182219523,0.2671781788036043
SMD_machine-1-7_test,0.6715595031828094,0.1176115982069007,0.7211567569842453,0.14168297745256497
SMD_machine-1-8_test,0.8961164700453933,0.14434875374749173,0.896964175321466,0.2541637145456437
SMD_machine-2-1_test,0.738647060124036,0.20520316776268477,0.7408557473485915,0.2074860806983887
SMD_machine-2-2_test,0.49783920088282396,0.20784246174650295,0.632825519264039,0.3012321153251637
SMD_machine-2-3_test,0.8807892420791054,0.39175450368360415,0.8729758668781513,0.25520246901112537
SMD_machine-2-4_test,0.6631790185229545,0.19665877170140003,0.6344291125797307,0.18448249972120262
SMD_machine-2-5_test,0.8172201812780118,0.14876213145185763,0.8239865478250076,0.1597253182832959
SMD_machine-2-7_test,0.5798774387801362,0.15299441720245985,0.8140705879414282,0.11710367671157362
SMD_machine-2-9_test,0.4844994357772863,0.07630601830817965,0.5523507213301716,0.098052830663625
SMD_machine-3-10_test,0.6869321864717366,0.2151723752057889,0.6914607841136782,0.18324611613290073
SMD_machine-3-2_test,0.3716911359449061,0.01354269039653799,0.374469486145356,0.016026400893027908
SMD_machine-3-3_test,0.8354580257041291,0.11272206948452118,0.7424953924506481,0.1106235675533602
SMD_machine-3-5_test,0.9036034922285977,0.3732425661355051,0.7986378054108523,0.19142942907551694
SMD_machine-3-6_test,0.665618700730102,0.11673813138253354,0.6685641376239642,0.11255706382708171
