file_name,AUROC,AUPRC,VUS-ROC,VUS-PR
SMD_machine-1-2_test,0.9264213542262525,0.535373687310189,0.9427441854726365,0.4967266784442388
SMD_machine-1-3_test,0.810923648042582,0.22243477718924498,0.8772308043467942,0.22133363686829108
SMD_machine-1-4_test,0.7454377286253103,0.19190740219401115,0.8570332474139554,0.19698190247678074
SMD_machine-1-6_test,0.7969443519867442,0.4726749502789561,0.7892922848756055,0.43845688860823934
SMD_machine-1-7_test,0.6848938204695418,0.12711161912721097,0.7225794474622946,0.13453766475632006
SMD_machine-1-8_test,0.7742707761759865,0.08445422496083664,0.9139377654956734,0.21633906323433102
SMD_machine-2-1_test,0.65543208602796,0.17332751307750288,0.6554502271952838,0.17079808588633255
SMD_machine-2-2_test,0.5249429730711777,0.20673053884555,0.6557759145953691,0.2989751173250746
SMD_machine-2-3_test,0.9255513563884863,0.5364321630766373,0.9076959407562603,0.3248516821553866
SMD_machine-2-4_test,0.8001430970615507,0.27302818715484145,0.8057389333580917,0.2573657702521618
SMD_machine-2-5_test,0.8553448727206285,0.2048355120952784,0.8567491963074223,0.1770270623365464
SMD_machine-2-7_test,0.8526026035407654,0.3782520653315487,0.8697078004290635,0.17521917413417573
SMD_machine-2-9_test,0.726994388134624,0.11813932407612376,0.777942203478603,0.1475772705344874
SMD_machine-3-10_test,0.6571473770515398,0.12859891886935793,0.6604417881313914,0.13341659694554978
SMD_machine-3-2_test,0.40500056427187936,0.01493367187897306,0.44372727900047537,0.017537302988734696
SMD_machine-3-3_test,0.842400236988424,0.1432523703815231,0.7687409942982832,0.11514004247410403
SMD_machine-3-5_test,0.8837866296072097,0.4116347695417292,0.845594240618736,0.23634284081657334
SMD_machine-3-6_test,0.8403932761272866,0.32633422022742153,0.8425362349040499,0.3250336112533912
