file_name,AUROC,AUPRC,VUS-ROC,VUS-PR
SMD_machine-1-2_test,0.7745483209520493,0.3744098213482126,0.6598069252366817,0.3101725735896418
SMD_machine-1-3_test,0.69936129349234,0.1710401291708647,0.8224619531616381,0.21717293860038656
SMD_machine-1-4_test,0.7880717449125932,0.20676856691459156,0.8772917892533901,0.22455170583724737
SMD_machine-1-6_test,0.6197425053708433,0.27399482705867617,0.5988117182219523,0.2671781788036043
SMD_machine-1-7_test,0.6715593283095751,0.11761147518011128,0.7211567569842453,0.14168297745256497
SMD_machine-1-8_test,0.89611631416172,0.14434874756600824,0.8969637917563483,0.25416353778123224
SMD_machine-2-1_test,0.7386463064213459,0.20520208351959082,0.7408557464508186,0.2074859906812511
SMD_machine-2-2_test,0.4978394111591102,0.2078425487702385,0.632825519264039,0.3012321153251637
SMD_machine-2-3_test,0.8814984986539656,0.3932457709871119,0.8728454560591667,0.2574335643531714
SMD_machine-2-4_test,0.6631770139751886,0.19665712059174473,0.6344236984686111,0.18447358669195055
SMD_machine-2-5_test,0.8172183365221255,0.14876080467067423,0.8239898749077522,0.15972631140541638
SMD_machine-2-7_test,0.5798771610839316,0.152994410648216,0.8140705879414282,0.11710367671157362
SMD_machine-2-9_test,0.48449918276261655,0.07630593480997985,0.5523507213301716,0.098052830663625
SMD_machine-3-10_test,0.6869324389806015,0.2151724359687528,0.6914607841136782,0.18324611613290073
SMD_machine-3-2_test,0.37168949561967557,0.013542654122657587,0.37446876878272595,0.01602638713984257
SMD_machine-3-3_test,0.8354659557013946,0.1127223139823216,0.7426353504458539,0.11062657153663868
SMD_machine-3-5_test,0.9036034922285977,0.3732425661355051,0.7986378054108523,0.19142942907551694
SMD_machine-3-6_test,0.665618700730102,0.11673813138253354,0.6685641376239642,0.11255706382708171
