file_name,AUROC,AUPRC,VUS-ROC,VUS-PR
SMD_machine-1-2_test,0.7704838066885337,0.5341527099189006,0.6529510354767297,0.40944993135828095
SMD_machine-1-3_test,0.7487154151224028,0.19016423331616494,0.8472103231590722,0.2551239048306484
SMD_machine-1-4_test,0.7585138012294436,0.20673210335693648,0.8598267596574417,0.21717757208861363
SMD_machine-1-6_test,0.7396182016012214,0.3658848596845633,0.7246272379624785,0.3509731180046012
SMD_machine-1-7_test,0.7161021642078325,0.12828355389897023,0.7594882989851126,0.15422559190927254
SMD_machine-1-8_test,0.9288219559036264,0.3669003977003681,0.9394400500373618,0.39151167943025894
SMD_machine-2-1_test,0.7381926611466598,0.25913697185715007,0.7379065201354751,0.25243251421439017
SMD_machine-2-2_test,0.579655811363667,0.22794559460975172,0.6983743944045147,0.33703659667022456
SMD_machine-2-3_test,0.9103942327604058,0.3864249171149764,0.8907874466403564,0.260670421639097
SMD_machine-2-4_test,0.7222662781115792,0.28824424825108075,0.6799551773572576,0.23009858709618644
SMD_machine-2-5_test,0.9017310837852986,0.2942001417048776,0.8537759254332744,0.22338107543671581
SMD_machine-2-7_test,0.797149031916319,0.32222383116874587,0.8751625424338274,0.1804244184277823
SMD_machine-2-9_test,0.5522437340917026,0.08403045674230412,0.600039676491724,0.10292427183427734
SMD_machine-3-10_test,0.757962298911409,0.19780201846167866,0.7621518579509061,0.21358863117875324
SMD_machine-3-2_test,0.36577612316349184,0.01336042761206613,0.40352600502295943,0.01620484303439943
SMD_machine-3-3_test,0.8675875489927992,0.18684076073432276,0.7369518510991253,0.1410025726363815
SMD_machine-3-5_test,0.8934333142920478,0.5406442443496415,0.6479964285342249,0.24389109696284267
SMD_machine-3-6_test,0.6886159894207697,0.13645208163987332,0.6922281843735437,0.12846350063753567
